Suburb_name,Projected_population_growth,Projected_median_income,Projected_unemployment_rate,Projected_priority_growth_area
KYNETON,3.300205,98290.526,0.416646,0
INVERLOCH,4.494941,140999.710,2.863443,0
DINNER PLAIN,4.715431,132956.389,9.301071,0
SORRENTO,6.841395,139719.296,5.505726,0
DROUIN,8.340735,107530.184,-1.500420,0
CORIO,4.723653,181343.429,9.616519,0
CAPEL SOUND,2.643492,207901.852,-0.389732,1
MOUNT ELIZA,5.206287,111349.102,8.007078,1
OCEAN GROVE,4.397600,114891.161,11.128896,1
PORTARLINGTON,3.100971,159485.202,1.084066,1
POINT LONSDALE,3.971350,99204.151,4.650715,0
SAFETY BEACH,4.011407,137295.513,-1.413181,0
HAMLYN HEIGHTS,3.571436,158654.637,2.893564,0
MADDINGLEY,3.211718,199455.866,3.088634,1
ROSEBUD,3.434614,162611.215,3.077422,0
WANGARATTA,5.005627,186873.989,7.553926,1
CRANBOURNE WEST,6.288489,121065.808,4.833107,1
SEYMOUR,6.181487,91705.742,7.331210,0
SKYE,4.597188,98847.113,10.441575,0
ST LEONARDS,5.666775,102863.350,11.850450,0
COWES WEST,4.275332,141494.535,2.162741,0
DARLEY,4.392894,160562.219,10.082039,0
KEILOR,7.453058,95622.612,6.403399,0
CHIRNSIDE PARK,5.695536,83539.196,2.192206,0
CLARINDA,6.795979,138119.240,5.405050,0
HEATHMONT,4.000851,153699.679,4.868927,0
NORLANE,5.494245,202228.471,11.459497,0
WARRANWOOD,3.681855,185772.943,4.442697,0
BARWON HEADS,5.500314,177378.736,5.189818,0
LEOPOLD,4.039712,192036.895,4.177867,0
DEEPDENE,4.527528,127504.728,9.343906,0
DRYSDALE,4.447797,153436.043,7.953160,0
WOLLERT,4.229835,180600.732,7.166950,0
BELMONT,3.548812,167462.505,3.989990,0
BLACK HILL,4.480723,97848.927,6.020676,0
CHELSEA HEIGHTS,3.888473,153884.157,6.538254,0
LAKE WENDOUREE,4.396243,100820.959,7.403371,0
LONGWARRY,3.148960,114747.718,8.439031,1
SUNSHINE NORTH,3.469373,79578.863,1.008466,0
YARRA JUNCTION,3.375555,178835.863,2.277147,1
BLACK ROCK,4.411913,202412.227,3.782129,0
SPRINGVALE SOUTH,4.188231,113858.971,7.981194,0
TYABB,3.822546,149189.465,5.958118,0
MILDURA,5.559557,168036.440,6.652257,0
TORQUAY,4.935291,196566.781,3.920086,0
CROYDON SOUTH,5.048197,80157.610,10.485581,0
KANGAROO FLAT,7.588891,164783.745,4.958690,0
KILSYTH,5.196942,178306.688,9.294406,0
YARRA GLEN,2.756063,135760.507,3.246583,1
BALLARAT NORTH,5.639189,103016.847,8.784468,0
BENDIGO,4.687164,112144.645,5.684827,0
BLACKBURN NORTH,4.573420,156739.322,1.188015,0
BREAKWATER,5.367913,118178.431,4.102726,0
FRANKSTON,3.404561,200965.615,-2.047579,0
GISBORNE,5.445509,126853.959,3.150614,0
MOUNT PLEASANT,5.645117,165092.525,6.597072,0
EUMEMMERRING,4.085930,127308.833,10.952257,1
KOO WEE RUP,4.336838,126130.066,5.082071,0
LANGWARRIN,4.171495,87040.295,6.636519,0
