age,marital,education,default,balance,housing,loan,contact,poutcome,y
35,married,tertiary,no,231,yes,no,unknown,unknown,no
50,married,secondary,no,49,yes,no,unknown,unknown,no
44,married,secondary,no,0,yes,no,unknown,unknown,no
55,divorced,secondary,no,0,no,no,unknown,unknown,no
42,single,secondary,no,-76,yes,no,unknown,unknown,no
53,divorced,secondary,no,989,yes,no,unknown,unknown,no
44,married,secondary,no,144,yes,no,unknown,unknown,no
59,divorced,tertiary,no,262,no,no,unknown,unknown,no
56,divorced,unknown,no,56,yes,no,unknown,unknown,no
37,married,secondary,no,37,yes,no,unknown,unknown,no
40,married,secondary,no,1225,yes,no,unknown,unknown,no
45,married,secondary,no,86,yes,no,unknown,unknown,no
53,divorced,secondary,no,1151,yes,no,unknown,unknown,no
38,married,secondary,no,155,yes,no,unknown,unknown,no
35,single,unknown,no,298,yes,no,unknown,unknown,no
43,married,secondary,no,434,yes,no,unknown,unknown,no
49,married,tertiary,no,3237,yes,no,unknown,unknown,no
39,married,primary,no,279,yes,no,unknown,unknown,no
30,single,tertiary,no,25,yes,no,unknown,unknown,no
56,divorced,secondary,no,155,no,no,unknown,unknown,no
55,divorced,primary,no,96,yes,yes,unknown,unknown,no
33,single,tertiary,no,193,no,no,unknown,unknown,no
40,single,secondary,no,436,yes,no,unknown,unknown,no
48,married,secondary,no,1,no,no,unknown,unknown,no
53,married,secondary,no,56,yes,yes,unknown,unknown,no
46,single,tertiary,no,187,yes,no,unknown,unknown,no
46,married,tertiary,no,841,yes,no,unknown,unknown,no
49,married,secondary,no,245,yes,yes,unknown,unknown,no
33,married,secondary,yes,72,yes,no,unknown,unknown,no
39,single,secondary,no,113,yes,no,unknown,unknown,no
55,married,secondary,no,183,yes,no,unknown,unknown,no
24,single,secondary,no,0,yes,no,unknown,unknown,no
50,married,secondary,no,797,yes,no,unknown,unknown,no
36,single,primary,no,58,yes,no,unknown,unknown,no
39,married,secondary,no,983,yes,no,unknown,unknown,no
51,married,primary,no,1127,yes,no,unknown,unknown,no
29,married,secondary,no,1,yes,no,unknown,unknown,no
29,single,tertiary,no,0,yes,no,unknown,unknown,no
40,single,tertiary,no,3877,yes,no,unknown,unknown,no
30,single,tertiary,no,34,yes,no,unknown,unknown,no
52,married,secondary,no,3165,no,no,unknown,unknown,no
47,married,secondary,no,83,yes,no,unknown,unknown,no
38,married,unknown,no,573,yes,no,unknown,unknown,no
31,single,tertiary,no,1852,yes,no,unknown,unknown,no
33,married,tertiary,no,85,no,no,unknown,unknown,no
29,married,secondary,no,182,yes,yes,unknown,unknown,no
42,married,tertiary,no,0,yes,no,unknown,unknown,no
30,single,unknown,no,-48,yes,no,unknown,unknown,no
