Suburb_name,Historical_population_growth,Historical_median_income,Historical_unemployment_rate,Historical_priority_growth_area
KYNETON,3.24,94327,0.42,0
INVERLOCH,4.43,135279,2.83,0
DINNER PLAIN,4.57,126613,9.04,0
SORRENTO,6.55,132536,5.34,0
DROUIN,8.04,104443,-1.43,0
CORIO,4.53,173997,10.03,0
CAPEL SOUND,2.59,197408,-0.39,1
MOUNT ELIZA,4.98,105553,7.99,1
OCEAN GROVE,4.29,111383,10.8,1
PORTARLINGTON,2.97,155722,1.11,1
POINT LONSDALE,3.86,,4.86,0
SAFETY BEACH,3.93,129791,-1.44,0
HAMLYN HEIGHTS,3.5,152773,2.76,0
MADDINGLEY,3.11,192387,2.97,1
ROSEBUD,3.39,159341,3.11,0
WANGARATTA,4.78,182844,7.28,1
CRANBOURNE WEST,6.16,115659,5.07,1
SEYMOUR,6.04,87875,7.47,0
SKYE,4.51,94770,10.21,0
ST LEONARDS,5.61,100412,12.19,0
COWES WEST,4.12,136831,2.23,0
DARLEY,4.25,152554,9.73,0
KEILOR,7.15,93109,6.33,0
CHIRNSIDE PARK,5.63,79161,2.09,0
CLARINDA,6.49,134769,5.61,0
HEATHMONT,3.91,149693,4.94,0
NORLANE,5.25,194617,11.68,0
WARRANWOOD,3.63,175620,4.28,0
BARWON HEADS,5.29,171682,5.32,0
LEOPOLD,3.91,183534,4.24,0
DEEPDENE,4.42,122184,9.69,0
DRYSDALE,4.39,149550,7.74,0
WOLLERT,4.09,175353,7.36,0
BELMONT,3.51,158401,4.17,0
BLACK HILL,4.35,95240,6.06,0
CHELSEA HEIGHTS,3.76,146864,6.61,0
LAKE WENDOUREE,4.23,95241,7.65,0
LONGWARRY,3,111973,8.76,1
SUNSHINE NORTH,3.4,76816,0.97,0
YARRA JUNCTION,3.3,173803,2.38,1
BLACK ROCK,4.31,196734,3.94,0
SPRINGVALE SOUTH,4.03,111108,8.19,0
TYABB,3.65,142631,5.7,0
MILDURA,5.3,160057,6.94,0
TORQUAY,4.71,187730,3.8,0
CROYDON SOUTH,4.83,75836,10.09,0
KANGAROO FLAT,7.23,160635,5.02,0
KILSYTH,5.07,172645,9.49,0
YARRA GLEN,2.63,131324,3.19,1
BALLARAT NORTH,5.42,100086,8.61,0
BENDIGO,4.61,109336,5.53,0
BLACKBURN NORTH,4.52,150788,1.15,0
BREAKWATER,5.27,112190,4.2,0
FRANKSTON,3.27,189916,-2.01,0
GISBORNE,5.26,123739,3.27,0
MOUNT PLEASANT,5.54,156794,6.59,0
EUMEMMERRING,3.93,120903,10.83,1
KOO WEE RUP,4.27,121799,5.26,0
LANGWARRIN,4,84967,6.93,0
CALIFORNIA GULLY,5.69,100441,3.26,0
DAYLESFORD,4.61,156425,2.4,0
CRANBOURNE,4.08,142874,3.22,0
DROMANA,3.98,122848,8.2,0
FRANKSTON NORTH,3.78,166180,3.72,0
KEYSBOROUGH,6.13,67160,7.58,0
MORNINGTON,3.36,147008,11.69,1
SYNDAL,6.48,153235,4.48,0
WOODEND,5.96,130446,9.74,0
BENTLEIGH EAST,3.02,149601,5.17,1
CROYDON NORTH,4.23,118782,7.67,0
DINGLEY VILLAGE,3.97,186949,3.37,0
FLORA HILL,5.12,139211,-1.26,0
MAFFRA,3.79,151614,1.68,1
MONTMORENCY,4.25,120596,4.85,1
MORWELL,3.98,73097,8.01,0
NOBLE PARK NORTH,3.16,194577,11.12,1
SOMERVILLE,5.21,89034,2.62,0
BALWYN,7.49,154757,7.66,0
CHELTENHAM NORTH,4.56,106750,6.63,0
HAMPTON PARK,2.15,165820,-1.25,1
HASTINGS,5.79,119349,3.83,0
MOOROOLBARK,4.68,86651,4.13,0
ROMSEY,3.88,118941,4.5,0
BAYSWATER NORTH,3.89,137504,4.09,0
BELL PARK,5.13,169011,8.38,0
HEIDELBERG WEST,5.23,147314,1.35,1
NEWCOMB,5.78,92801,5.42,0
