Year,Month,Popln,WineSales
1968,1,1811517,31340
1968,2,1812651,38834
1968,3,1813732,30659
1968,4,1814908,30659
1968,5,1816068,36790
1968,6,1817289,27933
1968,7,1818492,23164
1968,8,1819758,32021
1968,9,1821047,27252
1968,10,1822317,29977
1968,11,1823652,47010
1968,12,1824968,57911
1969,1,1826351,29674
1969,2,1827758,35730
1969,3,1829050,30280
1969,4,1830505,29674
1969,5,1831936,35125
1969,6,1833440,30280
1969,7,1834920,21196
1969,8,1836475,30280
1969,9,1838056,26646
1969,10,1839611,29069
1969,11,1841243,44814
1969,12,1842849,56321
1970,1,1844534,33308
1970,2,1846247,39364
1970,3,1847818,32702
1970,4,1849583,33308
1970,5,1851318,39364
1970,6,1853137,30280
1970,7,1854923,24830
1970,8,1856795,36942
1970,9,1858692,32097
1970,10,1860551,37547
1970,11,1862497,59349
1970,12,1864402,73278
1971,1,1866393,43603
1971,2,1868408,50870
1971,3,1870246,41786
1971,4,1872301,41181
1971,5,1874310,51476
1971,6,1876405,38758
1971,7,1878452,38153
1971,8,1880585,45420
1971,9,1882737,37547
1971,10,1884837,40575
1971,11,1887023,64194
1971,12,1889155,85390
1972,1,1891374,34576
1972,2,1893607,51590
1972,3,1895711,45004
1972,4,1897973,46650
1972,5,1900175,52138
1972,6,1902463,38418
1972,7,1904689,48297
1972,8,1907001,45004
1972,9,1909325,44455
1972,10,1911583,62566
1972,11,1913927,66408
1972,12,1916204,110314
1973,1,1918566,51590
1973,2,1920936,54334
1973,3,1923084,62017
1973,4,1925468,55431
1973,5,1927781,55431
1973,6,1930178,50492
1973,7,1932502,45004
1973,8,1934908,48845
1973,9,1937319,49394
1973,10,1939655,54334
1973,11,1942071,66408
1973,12,1944412,112509
1974,1,1946833,49394
1974,2,1949255,51590
1974,3,1951443,59273
1974,4,1953866,55980
1974,5,1956209,55431
1974,6,1958630,48845
1974,7,1960971,46101
1974,8,1963387,52687
1974,9,1965801,48297
1974,10,1968133,58175
1974,11,1970539,74640
1974,12,1972862,119644
1975,1,1975258,54334
1975,2,1977648,55980
1975,3,1979801,64213
1975,4,1982178,61468
1975,5,1984470,60920
1975,6,1986831,52687
1975,7,1989108,53236
1975,8,1991450,58724
1975,9,1993783,57627
1975,10,1996030,68054
1975,11,1998341,78482
1975,12,2000566,131169
1976,1,2002853,62017
1976,2,2005127,59273
1976,3,2007242,66408
1976,4,2009488,68603
1976,5,2011649,67505
1976,6,2013865,58724
1976,7,2015995,65859
1976,8,2018180,59273
1976,9,2020347,63115
1976,10,2022428,74640
